OID_,OID_,Point_ID,long,lat,OC,unwanted_cover_percentage,unwanted_cover
0,0,10072000,17.59177380688476,68.37632787034288,0.0,0,31.557334416324682
1,1,10072001,13.291051269856233,52.28314225745193,0.0,0,3.2564775910364143
2,2,10072002,-4.05013022916251,56.86880486112764,0.0,0,0.0
3,3,10072003,31.228135826174785,64.45693429905863,0.0,0,8.33418939301292
4,4,10072004,58.02854800006782,60.910119862371296,0.0,0,0.0
5,5,10072005,49.24257515969205,66.99343194316324,0.0,0,8.611248947431735
6,6,10072006,46.53399705850447,43.62834374024393,0.0,0,5.880264037433156
7,7,10072007,17.451557299957425,47.85602737485954,0.0,0,7.06701496388029
8,8,10072008,24.74261435879751,41.95849237343986,0.0,0,1.2540612175102601
9,9,10072009,43.28783325301009,63.22273746137514,0.0,0,9.00774130074565
10,10,10072010,51.55285868485026,55.305079309571205,0.0,0,0.0
11,11,10072011,62.24926651035039,66.29199630638944,0.0,0,16.452748821047408
12,12,10072012,9.61270118454835,47.86267150448586,0.0,0,1.7344556243550067
13,13,10072013,14.123603685091116,37.22321517266943,0.0,0,0.0
14,14,10072014,47.17641952354051,46.58711640023656,0.0,0,0.0
15,15,10072015,28.174333076903466,51.49936369413813,0.0,0,0.6184012066365008
16,16,10072016,59.56900281136066,51.893358346542335,0.0,0,0.18058545300121542
17,17,10072017,11.310791916253493,42.981757219626765,0.0,0,0.34123563218390807
18,18,10072018,29.86125507589472,56.323422898687866,0.0,0,0.0
19,19,10072019,46.05902100387975,55.69001408553876,0.0,0,0.05530973451327434
20,20,10072020,48.57886547770662,45.06522977999945,0.0,0,100.355664488017
21,21,10072021,34.74508566159694,46.737979571610666,0.0,0,0.0
22,22,10072022,6.458364440794943,59.08901188026209,0.0,0,14.69708649588867
23,23,10072023,42.8290329060449,48.09772310486592,0.0,0,0.0
24,24,10072024,57.28846764749404,66.03887549239617,0.0,0,22.67211502435372
25,25,10072025,22.111325947650588,41.20021674236383,0.0,0,0.0
26,26,10072026,30.498664041451924,57.36374285404944,0.0,0,12.878655699567961
27,27,10072027,27.26502508658677,65.03145272591831,0.0,0,28.643545751633955
28,28,10072028,23.817899697805203,51.60294932060422,0.0,0,3.683919646289888
29,29,10072029,20.309980258176207,64.15449561860397,0.0,0,1.8284145850120872
30,30,10072030,7.439024011220933,58.93286940921514,0.0,0,3.2985612944364737
31,31,10072031,-1.5029418929134728,52.00662986983663,0.0,0,1.2161811840120662
32,32,10072032,13.815443993457952,48.92966022656649,0.0,0,0.3335354760460886
33,33,10072033,9.95900755491165,48.32939878114158,0.0,0,8.18827399380805
34,34,10072034,33.45059995542633,63.90708047272755,0.0,0,73.58798174442208
35,35,10072035,53.24920204110239,51.608453277827024,0.0,0,0.49019607843137253
36,36,10072036,15.80883793238027,49.96824591518563,0.0,0,7.1096999405822885
37,37,10072037,22.133380625362896,51.12368868525445,0.0,0,2.938339082777055
38,38,10072038,50.18402335002995,59.59760922755085,0.0,0,0.0
39,39,10072039,18.39528212169193,43.48872934680864,0.0,0,0.3803245436105477
40,40,10072040,45.56400215577175,63.92362601131837,0.0,0,0.0
41,41,10072041,21.52339433675907,49.21537079927019,0.0,0,0.0
42,42,10072042,28.163979530328145,58.57818237914872,0.0,0,20.175011744924934
43,43,10072043,27.24620296960561,51.78581794105138,0.0,0,37.397823954077445
44,44,10072044,22.847912897533625,49.73019261226761,0.0,0,0.5050505050505051
45,45,10072045,25.7759319401489,41.17837210380218,0.0,0,0.0694204152249135
